TimeFrame,Type,Station,Class,Type,Count,Pct
DoD,Count,06,TollsByMail,2L,-899,-13.4540556719545
DoD,Revenue,06,TollsByMail,2L,-1123.75,-13.4540556719545
YoY,Count,06,TollsByMail,2L,383,7.09259259259259
YoY,Revenue,06,TollsByMail,2L,478.75,7.09259259259259
DoD,Count,06,TollsByMail,3L,-3,-21.4285714285714
DoD,Revenue,06,TollsByMail,3L,-4.5,-21.4285714285714
YoY,Count,06,TollsByMail,3L,-13,-54.1666666666667
YoY,Revenue,06,TollsByMail,3L,-19.5,-54.1666666666667
DoD,Count,06,TollsByMail,4L,31,129.166666666667
DoD,Revenue,06,TollsByMail,4L,54.25,129.166666666667
YoY,Count,06,TollsByMail,4L,36,189.473684210526
YoY,Revenue,06,TollsByMail,4L,63,189.473684210526
DoD,Count,06,TollsByMail,2H,491,274.301675977654
DoD,Revenue,06,TollsByMail,2H,982,274.301675977654
YoY,Count,06,TollsByMail,2H,62,10.1973684210526
YoY,Revenue,06,TollsByMail,2H,124,10.1973684210526
DoD,Count,06,TollsByMail,3H,127,668.421052631579
DoD,Revenue,06,TollsByMail,3H,285.75,668.421052631579
YoY,Count,06,TollsByMail,3H,38,35.1851851851852
YoY,Revenue,06,TollsByMail,3H,85.5,35.1851851851852
DoD,Count,06,TollsByMail,4H,41,227.777777777778
DoD,Revenue,06,TollsByMail,4H,112.75,227.777777777778
YoY,Count,06,TollsByMail,4H,7,13.4615384615385
YoY,Revenue,06,TollsByMail,4H,19.25,13.4615384615385
DoD,Count,06,TollsByMail,5H,164,138.983050847458
DoD,Revenue,06,TollsByMail,5H,697,138.983050847458
YoY,Count,06,TollsByMail,5H,82,41
YoY,Revenue,06,TollsByMail,5H,348.5,41
DoD,Count,06,TollsByMail,6H,12,600
DoD,Revenue,06,TollsByMail,6H,54,600
YoY,Count,06,TollsByMail,6H,-2,-12.5
YoY,Revenue,06,TollsByMail,6H,-9,-12.5
DoD,Count,06,TollsByMail,7H,10,Infinity
DoD,Revenue,06,TollsByMail,7H,50,Infinity
YoY,Count,06,TollsByMail,7H,-12,-54.5454545454545
YoY,Revenue,06,TollsByMail,7H,-60,-54.5454545454545
DoD,Revenue,06,TollsByMail,Sub Total,1107.5,11.811758432209
YoY,Count,06,TollsByMail,Sub Total,581,9.00914870522562
YoY,Revenue,06,TollsByMail,Sub Total,1030.5,10.9010128791685
DoD,Count,06,EZ AMS,Commuter,1057,200.189393939394
DoD,Revenue,06,EZ AMS,Commuter,581.35,200.189393939394
YoY,Count,06,EZ AMS,Commuter,-739,-31.7986230636833
YoY,Revenue,06,EZ AMS,Commuter,-406.45,-31.7986230636833
YoY,Count,06,EZ AMS,Green Discount,-10,-19.2307692307692
YoY,Revenue,06,EZ AMS,Green Discount,-10.7,-19.2307692307692
DoD,Count,06,EZ AMS,Motor Cycle 2L,-6,-75
DoD,Revenue,06,EZ AMS,Motor Cycle 2L,-3.78,-75
YoY,Count,06,EZ AMS,Motor Cycle 2L,-2,-50
YoY,Revenue,06,EZ AMS,Motor Cycle 2L,-1.26,-50
DoD,Count,06,EZ AMS,2L,-1381,-4.49969046300218
DoD,Revenue,06,EZ AMS,2L,-1656.59,-4.52106719226277
YoY,Count,06,EZ AMS,2L,-6914,-19.0867932862191
YoY,Revenue,06,EZ AMS,2L,-8261.98,-19.1041867451492
DoD,Count,06,EZ AMS,3L,13,216.666666666667
DoD,Revenue,06,EZ AMS,3L,18.8,219.114219114219
YoY,Count,06,EZ AMS,3L,8,72.7272727272727
YoY,Revenue,06,EZ AMS,3L,11.58,73.2911392405063
DoD,Count,06,EZ AMS,4L,21,300
DoD,Revenue,06,EZ AMS,4L,35.31,294.741235392321
YoY,Count,06,EZ AMS,4L,14,100
YoY,Revenue,06,EZ AMS,4L,23.87,101.921434671221
DoD,Count,06,EZ AMS,2H,1582,513.636363636364
DoD,Revenue,06,EZ AMS,2H,3028.5,511.484546529302
YoY,Count,06,EZ AMS,2H,-300,-13.6986301369863
YoY,Revenue,06,EZ AMS,2H,-571,-13.6224830613608
DoD,Count,06,EZ AMS,3H,546,691.139240506329
DoD,Revenue,06,EZ AMS,3H,1179.22,689.441066417212
YoY,Count,06,EZ AMS,3H,-194,-23.6874236874237
YoY,Revenue,06,EZ AMS,3H,-419.89,-23.7205886506793
DoD,Count,06,EZ AMS,4H,296,1286.95652173913
DoD,Revenue,06,EZ AMS,4H,784.32,1294.47103482423
DoD,Count,06,EZ AMS,5H,810,382.075471698113
DoD,Revenue,06,EZ AMS,5H,3365.01,379.669412162925
DoD,Count,06,EZ AMS,5S,321,729.545454545455
