TimeFrame,Item Type,Station,Category,Class,Count,Pct
DoD,Count,06,TollsByMail,2L,436,7.31789191003693
DoD,Revenue,06,TollsByMail,2L,545,7.31789191003693
DoD,Count,06,TollsByMail,3L,2,12.5
DoD,Revenue,06,TollsByMail,3L,3,12.5
YoY,Count,06,TollsByMail,3L,-26,-59.0909090909091
YoY,Revenue,06,TollsByMail,3L,-39,-59.0909090909091
DoD,Count,06,TollsByMail,4L,-3,-6.52173913043478
DoD,Revenue,06,TollsByMail,4L,-5.25,-6.52173913043478
YoY,Count,06,TollsByMail,4L,25,138.888888888889
YoY,Revenue,06,TollsByMail,4L,43.75,138.888888888889
DoD,Count,06,TollsByMail,2H,39,5.79494799405646
DoD,Revenue,06,TollsByMail,2H,78,5.79494799405646
YoY,Count,06,TollsByMail,2H,140,24.4755244755245
YoY,Revenue,06,TollsByMail,2H,280,24.4755244755245
DoD,Count,06,TollsByMail,3H,-47,-23.8578680203046
DoD,Revenue,06,TollsByMail,3H,-105.75,-23.8578680203046
YoY,Count,06,TollsByMail,3H,38,33.9285714285714
YoY,Revenue,06,TollsByMail,3H,85.5,33.9285714285714
DoD,Count,06,TollsByMail,4H,-11,-15.4929577464789
DoD,Revenue,06,TollsByMail,4H,-30.25,-15.4929577464789
YoY,Count,06,TollsByMail,4H,-7,-10.4477611940298
YoY,Revenue,06,TollsByMail,4H,-19.25,-10.4477611940298
DoD,Count,06,TollsByMail,6H,-6,-20.6896551724138
DoD,Revenue,06,TollsByMail,6H,-27,-20.6896551724138
DoD,Count,06,TollsByMail,7H,3,18.75
DoD,Revenue,06,TollsByMail,7H,15,18.75
YoY,Count,06,TollsByMail,7H,9,90
YoY,Revenue,06,TollsByMail,7H,45,90
DoD,Count,06,TollsByMail,Sub Total,405,5.54263035445463
YoY,Count,06,TollsByMail,Sub Total,300,4.04749055585537
YoY,Revenue,06,TollsByMail,Sub Total,580.25,5.3308527986403
YoY,Count,06,EZ AMS,Commuter,-794,-32.1457489878542
YoY,Revenue,06,EZ AMS,Commuter,-436.7,-32.1457489878543
YoY,Count,06,EZ AMS,Green Discount,-18,-25.7142857142857
YoY,Revenue,06,EZ AMS,Green Discount,-19.26,-25.7142857142857
DoD,Count,06,EZ AMS,Motor Cycle 2L,-4,-28.5714285714286
DoD,Revenue,06,EZ AMS,Motor Cycle 2L,-2.52,-28.5714285714286
YoY,Count,06,EZ AMS,Motor Cycle 2L,8,400
YoY,Revenue,06,EZ AMS,Motor Cycle 2L,5.04,400
DoD,Count,06,EZ AMS,2L,2083,6.51548326556146
DoD,Revenue,06,EZ AMS,2L,2489.93,6.52546970288623
YoY,Count,06,EZ AMS,2L,-5918,-14.805734157264
YoY,Revenue,06,EZ AMS,2L,-7086.4,-14.845779991088
DoD,Count,06,EZ AMS,3L,1,7.69230769230769
