TimeFrame,Item Type,Station,Category,Class,Count,Pct
DoD,Count,14,Non EZ,3L,6,30
DoD,Revenue,14,Non EZ,3L,18,30
YoY,Count,14,Non EZ,3L,-27,-50.9433962264151
YoY,Revenue,14,Non EZ,3L,-81,-50.9433962264151
DoD,Count,14,Non EZ,4L,-8,-13.1147540983607
DoD,Revenue,14,Non EZ,4L,-36,-13.1147540983607
YoY,Count,14,Non EZ,4L,48,960
YoY,Revenue,14,Non EZ,4L,216,960
DoD,Count,14,Non EZ,2H,138,49.1103202846975
DoD,Revenue,14,Non EZ,2H,724.5,49.1103202846975
YoY,Count,14,Non EZ,2H,197,88.7387387387387
YoY,Revenue,14,Non EZ,2H,1034.25,88.7387387387387
DoD,Count,14,Non EZ,3H,44,45.8333333333333
DoD,Revenue,14,Non EZ,3H,363,45.8333333333333
YoY,Count,14,Non EZ,3H,64,84.2105263157895
YoY,Revenue,14,Non EZ,3H,528,84.2105263157895
DoD,Count,14,Non EZ,4H,73,155.31914893617
DoD,Revenue,14,Non EZ,4H,602.25,155.31914893617
YoY,Count,14,Non EZ,4H,68,130.769230769231
YoY,Revenue,14,Non EZ,4H,561,130.769230769231
DoD,Count,14,Non EZ,5H,114,24.5161290322581
DoD,Revenue,14,Non EZ,5H,1539,24.5161290322581
YoY,Count,14,Non EZ,5H,122,26.6958424507659
YoY,Revenue,14,Non EZ,5H,1647,26.6958424507659
DoD,Count,14,Non EZ,6H,10,66.6666666666667
DoD,Revenue,14,Non EZ,6H,147.5,66.6666666666667
YoY,Count,14,Non EZ,6H,9,56.25
YoY,Revenue,14,Non EZ,6H,132.75,56.25
DoD,Count,14,Non EZ,7H,7,36.8421052631579
DoD,Revenue,14,Non EZ,7H,115.5,36.8421052631579
YoY,Count,14,Non EZ,7H,9,52.9411764705882
YoY,Revenue,14,Non EZ,7H,148.5,52.9411764705882
DoD,Count,14,EZ AMS,3L,-3,-33.3333333333333
DoD,Revenue,14,EZ AMS,3L,-9,-40
YoY,Count,14,EZ AMS,3L,-26,-81.25
YoY,Revenue,14,EZ AMS,3L,-58.12,-81.1505166154705
DoD,Count,14,EZ AMS,4L,-5,-17.8571428571429
DoD,Revenue,14,EZ AMS,4L,-12.38,-14.1082621082621
YoY,Count,14,EZ AMS,4L,15,187.5
YoY,Revenue,14,EZ AMS,4L,43.87,139.269841269841
DoD,Count,14,EZ AMS,Motor Home 2H,1,Infinity
YoY,Count,14,EZ AMS,Motor Home 2H,1,Infinity
YoY,Count,14,EZ AMS,2H,-74,-8.25892857142857
YoY,Revenue,14,EZ AMS,2H,-241.01,-7.26741468680551
DoD,Count,14,EZ AMS,3H,89,21.8137254901961
DoD,Revenue,14,EZ AMS,3H,539.58,24.0972141587546
YoY,Count,14,EZ AMS,3H,48,10.6904231625835
YoY,Revenue,14,EZ AMS,3H,209.57,8.15704560581351
YoY,Count,14,EZ AMS,4H,-43,-13.915857605178
YoY,Revenue,14,EZ AMS,4H,-309.43,-16.1081756422603
YoY,Count,14,EZ AMS,5H,237,16.0569105691057
YoY,Revenue,14,EZ AMS,5H,2730.39,15.5354792750463
DoD,Count,14,EZ AMS,5S,-24,-8.95522388059701
DoD,Revenue,14,EZ AMS,5S,-103.92,-7.04695255919929
YoY,Count,14,EZ AMS,5S,-51,-17.2881355932203
YoY,Revenue,14,EZ AMS,5S,-257.79,-15.8294188081422
DoD,Count,14,EZ AMS,6H,-9,-16.6666666666667
DoD,Revenue,14,EZ AMS,6H,-125.38,-19.5378118523367
YoY,Count,14,EZ AMS,6H,-7,-13.4615384615385
YoY,Revenue,14,EZ AMS,6H,-95.88,-15.6607810790063
DoD,Count,14,EZ AMS,6S,-7,-18.4210526315789
DoD,Revenue,14,EZ AMS,6S,-34.63,-17.7644403406176
YoY,Count,14,EZ AMS,6S,-19,-38
YoY,Revenue,14,EZ AMS,6S,-106.43,-39.9002774237085
DoD,Count,14,EZ AMS,7H,2,12.5
DoD,Revenue,14,EZ AMS,7H,41.25,27.7777777777778
YoY,Count,14,EZ AMS,7H,6,50
YoY,Revenue,14,EZ AMS,7H,90.75,91.6666666666667
DoD,Count,14,EZ AMS,7S,-11,-23.9130434782609
DoD,Revenue,14,EZ AMS,7S,-55.15,-22.9964139771495
YoY,Count,14,EZ AMS,7S,-13,-27.0833333333333
YoY,Revenue,14,EZ AMS,7S,-66.69,-26.5316677275621
DoD,Count,14,EZ AMS,Non-Revenue,5,17.8571428571429
DoD,Count,14,EZ CAPS,3L,-1,-50
DoD,Revenue,14,EZ CAPS,3L,-1.87,-55.4896142433235
YoY,Count,14,EZ CAPS,3L,-1,-50
YoY,Revenue,14,EZ CAPS,3L,-1.5,-50
DoD,Count,14,EZ CAPS,4L,4,400
DoD,Revenue,14,EZ CAPS,4L,11.25,500
YoY,Count,14,EZ CAPS,4L,5,Infinity
YoY,Revenue,14,EZ CAPS,4L,13.5,Infinity
DoD,Count,14,EZ CAPS,2H,35,19.6629213483146
DoD,Revenue,14,EZ CAPS,2H,113.6,21.4226446405673
YoY,Count,14,EZ CAPS,2H,26,13.903743315508
YoY,Revenue,14,EZ CAPS,2H,50.67,8.54166315470069
DoD,Count,14,EZ CAPS,3H,72,55.8139534883721
DoD,Revenue,14,EZ CAPS,3H,306.65,49.3553942476381
YoY,Count,14,EZ CAPS,3H,41,25.625
YoY,Revenue,14,EZ CAPS,3H,191,25.9172818063396
DoD,Count,14,EZ CAPS,4H,32,13.4453781512605
DoD,Revenue,14,EZ CAPS,4H,153.79,13.8724517409345
YoY,Count,14,EZ CAPS,4H,20,8
YoY,Revenue,14,EZ CAPS,4H,99.0800000000002,8.51707627373616
DoD,Count,14,EZ CAPS,5H,-120,-8.78477306002928
DoD,Revenue,14,EZ CAPS,5H,-1100.15,-10.4718047027222
DoD,Count,14,EZ CAPS,5S,-20,-5.1413881748072
DoD,Revenue,14,EZ CAPS,5S,-43.7200000000003,-2.00090617434246
YoY,Count,14,EZ CAPS,5S,-38,-9.33660933660934
YoY,Revenue,14,EZ CAPS,5S,-237.18,-9.97195676212018
DoD,Count,14,EZ CAPS,6H,10,14.2857142857143
DoD,Revenue,14,EZ CAPS,6H,101.43,18.3271899392888
YoY,Count,14,EZ CAPS,6H,11,15.9420289855072
YoY,Revenue,14,EZ CAPS,6H,112.49,20.7400715365611
DoD,Count,14,EZ CAPS,6S,-8,-50
DoD,Revenue,14,EZ CAPS,6S,-52.56,-53.9408866995074
DoD,Count,14,EZ CAPS,7H,-9,-31.0344827586207
DoD,Revenue,14,EZ CAPS,7H,-78.38,-31.6686868686869
YoY,Count,14,EZ CAPS,7H,2,11.1111111111111
YoY,Revenue,14,EZ CAPS,7H,20.62,13.8855218855219
DoD,Count,14,EZ CAPS,7S,2,20
DoD,Revenue,14,EZ CAPS,7S,19.22,34.0659340659341
YoY,Revenue,14,EZ CAPS,7S,6.40000000000001,9.24321201617563
