Yesterday:7:Non EZ:2L,Difference;2119 & Pct:18.1064684268991,9584,11703
Last Year:7:Non EZ:2L,Difference;-867 & Pct:-9.94608236778708,9584,8717
Yesterday:8:Non EZ:3L,Difference;9 & Pct:16.0714285714286,47,56
Yesterday:9:Non EZ:4L,Difference;7 & Pct:11.1111111111111,56,63
Yesterday:10:Non EZ:2H,Difference;44 & Pct:20.6572769953052,169,213
Last Year:10:Non EZ:2H,Difference;144 & Pct:46.0063897763578,169,313
Yesterday:11:Non EZ:3H,Difference;12 & Pct:52.1739130434783,11,23
Last Year:11:Non EZ:3H,Difference;57 & Pct:83.8235294117647,11,68
Yesterday:12:Non EZ:4H,Difference;2 & Pct:7.40740740740741,25,27
Last Year:12:Non EZ:4H,Difference;33 & Pct:56.8965517241379,25,58
Last Year:13:Non EZ:5H,Difference;388 & Pct:52.7891156462585,347,735
Yesterday:14:Non EZ:6H,Difference;2 & Pct:28.5714285714286,5,7
Last Year:14:Non EZ:6H,Difference;27 & Pct:84.375,5,32
Yesterday:15:Non EZ:7H,Difference;1 & Pct:33.3333333333333,2,3
Last Year:15:Non EZ:7H,Difference;26 & Pct:92.8571428571429,2,28
Yesterday:16:Non EZ:Sub Total,Difference;2166 & Pct:17.4508540122462,10246,12412
Yesterday:17:EZ AMS:Commuter,Difference;1393 & Pct:26.0519917710866,3954,5347
Last Year:17:EZ AMS:Commuter,Difference;6650 & Pct:62.7121840814787,3954,10604
Yesterday:18:EZ AMS:MOV,Difference;38 & Pct:7.12945590994371,495,533
Last Year:18:EZ AMS:MOV,Difference;445 & Pct:47.3404255319149,495,940
Yesterday:20:EZ AMS:Green Discount,Difference;9 & Pct:12.3287671232877,64,73
Last Year:20:EZ AMS:Green Discount,Difference;18 & Pct:21.9512195121951,64,82
Yesterday:21:EZ AMS:Motor Cycle 2L,Difference;14 & Pct:73.6842105263158,5,19
Yesterday:24:EZ AMS:2L,Difference;5553 & Pct:11.2116133982111,43976,49529
Last Year:24:EZ AMS:2L,Difference;-3860 & Pct:-9.6220959218267,43976,40116
Yesterday:26:EZ AMS:4L,Difference;19 & Pct:9.26829268292683,186,205
Yesterday:30:EZ AMS:2H,Difference;193 & Pct:32.4915824915825,401,594
Last Year:30:EZ AMS:2H,Difference;1218 & Pct:75.2316244595429,401,1619
Yesterday:31:EZ AMS:3H,Difference;35 & Pct:14.2276422764228,211,246
Last Year:31:EZ AMS:3H,Difference;319 & Pct:60.188679245283,211,530
Last Year:32:EZ AMS:4H,Difference;304 & Pct:80.6366047745358,73,377
Last Year:33:EZ AMS:5H,Difference;1689 & Pct:62.027175908924,1034,2723
Yesterday:34:EZ AMS:5S,Difference;32 & Pct:27.3504273504274,85,117
Last Year:34:EZ AMS:5S,Difference;315 & Pct:78.75,85,400
Last Year:35:EZ AMS:6H,Difference;91 & Pct:80.5309734513274,22,113
Yesterday:36:EZ AMS:6S,Difference;15 & Pct:78.9473684210526,4,19
Last Year:36:EZ AMS:6S,Difference;67 & Pct:94.3661971830986,4,71
Yesterday:37:EZ AMS:7H,Difference;4 & Pct:80,1,5
Last Year:37:EZ AMS:7H,Difference;42 & Pct:97.6744186046512,1,43
Yesterday:40:EZ AMS:Non-Revenue,Difference;15 & Pct:13.2743362831858,98,113
Last Year:40:EZ AMS:Non-Revenue,Difference;150 & Pct:60.4838709677419,98,248
Yesterday:44:EZ AMS:Sub Total,Difference;7141 & Pct:12.3220540783048,50812,57953
Last Year:44:EZ AMS:Sub Total,Difference;7360 & Pct:12.6521350477893,50812,58172
Yesterday:45:EZ CAPS:2L,Difference;11 & Pct:27.5,29,40
Last Year:45:EZ CAPS:2L,Difference;113 & Pct:79.5774647887324,29,142
Yesterday:48:EZ CAPS:2H,Difference;8 & Pct:25.8064516129032,23,31
Last Year:48:EZ CAPS:2H,Difference;180 & Pct:88.6699507389163,23,203
Yesterday:49:EZ CAPS:3H,Difference;3 & Pct:9.375,29,32
Last Year:49:EZ CAPS:3H,Difference;109 & Pct:78.9855072463768,29,138
Yesterday:50:EZ CAPS:4H,Difference;12 & Pct:21.0526315789474,45,57
Last Year:50:EZ CAPS:4H,Difference;173 & Pct:79.3577981651376,45,218
Last Year:51:EZ CAPS:5H,Difference;734 & Pct:51.3286713286713,696,1430
Last Year:52:EZ CAPS:5S,Difference;331 & Pct:72.4288840262582,126,457
Last Year:53:EZ CAPS:6H,Difference;80 & Pct:70.1754385964912,34,114
Last Year:54:EZ CAPS:6S,Difference;27 & Pct:81.8181818181818,6,33
Yesterday:55:EZ CAPS:7H,Difference;5 & Pct:62.5,3,8
Last Year:55:EZ CAPS:7H,Difference;20 & Pct:86.9565217391304,3,23
Last Year:56:EZ CAPS:7S,Difference;10 & Pct:83.3333333333333,2,12
Last Year:57:EZ CAPS:Sub Total,Difference;1780 & Pct:64.1904075009015,993,2773
Yesterday:65:TOTALS:TOTALS,Difference;9306 & Pct:13.0414675504856,62051,71357
Last Year:65:TOTALS:TOTALS,Difference;8935 & Pct:12.5869889837433,62051,70986
Yesterday:59:TOTALS:Commuter,Difference;1393 & Pct:26.0519917710866,3954,5347
Last Year:59:TOTALS:Commuter,Difference;6650 & Pct:62.7121840814787,3954,10604
Yesterday:60:TOTALS:MOV,Difference;38 & Pct:7.12945590994371,495,533
Last Year:60:TOTALS:MOV,Difference;445 & Pct:47.3404255319149,495,940
Yesterday:62:TOTALS:Passenger,Difference;7709 & Pct:12.4624139157425,54149,61858
Last Year:62:TOTALS:Passenger,Difference;-4749 & Pct:-9.61336032388664,54149,49400
Last Year:63:TOTALS:Commercial,Difference;6439 & Pct:65.7443332652644,3355,9794
Yesterday:64:TOTALS:Non-Revenue,Difference;15 & Pct:13.2743362831858,98,113
Last Year:64:TOTALS:Non-Revenue,Difference;150 & Pct:60.4838709677419,98,248
Yesterday:58:TOTALS:TOTAL,Difference;9306 & Pct:13.0414675504856,62051,71357
Last Year:58:TOTALS:TOTAL,Difference;8935 & Pct:12.5869889837433,62051,70986
Yesterday:58:TOTALS:TOTAL,Difference;371 & Pct:0.519920960802724,70986,71357
