Last Year:17:TollsByMail:2L,Difference;-1029 & Pct:-16.2507896399242,7361,6332
Yesterday:21:TollsByMail:3H,Difference;5 & Pct:21.7391304347826,18,23
Last Year:21:TollsByMail:3H,Difference;30 & Pct:62.5,18,48
Yesterday:22:TollsByMail:4H,Difference;2 & Pct:25,6,8
Last Year:22:TollsByMail:4H,Difference;20 & Pct:76.9230769230769,6,26
Yesterday:23:TollsByMail:5H,Difference;60 & Pct:50.8474576271186,58,118
Last Year:23:TollsByMail:5H,Difference;29 & Pct:33.3333333333333,58,87
Yesterday:27:TollsByMail:7H,Difference;3 & Pct:60,2,5
Last Year:29:TollsByMail:Sub Total,Difference;-954 & Pct:-14.6837001693089,7451,6497
Yesterday:30:EZ AMS:Commuter,Difference;-509 & Pct:-33.5751978891821,2025,1516
Yesterday:34:EZ AMS:Motor Cycle 2L,Difference;6 & Pct:42.8571428571429,8,14
Yesterday:37:EZ AMS:2L,Difference;-2092 & Pct:-5.91645691337425,37451,35359
Last Year:37:EZ AMS:2L,Difference;-1927 & Pct:-5.42450174529895,37451,35524
Yesterday:38:EZ AMS:3L,Difference;3 & Pct:18.75,13,16
Yesterday:43:EZ AMS:2H,Difference;112 & Pct:31.1977715877437,247,359
Last Year:43:EZ AMS:2H,Difference;41 & Pct:14.2361111111111,247,288
Yesterday:44:EZ AMS:3H,Difference;70 & Pct:55.5555555555556,56,126
Last Year:44:EZ AMS:3H,Difference;126 & Pct:69.2307692307692,56,182
Yesterday:45:EZ AMS:4H,Difference;45 & Pct:71.4285714285714,18,63
Last Year:45:EZ AMS:4H,Difference;4 & Pct:18.1818181818182,18,22
Yesterday:46:EZ AMS:5H,Difference;50 & Pct:23.5849056603774,162,212
Yesterday:47:EZ AMS:5S,Difference;58 & Pct:46.031746031746,68,126
Last Year:47:EZ AMS:5S,Difference;7 & Pct:9.33333333333333,68,75
Yesterday:48:EZ AMS:6H,Difference;4 & Pct:57.1428571428571,3,7
Yesterday:57:EZ AMS:Sub Total,Difference;-2270 & Pct:-5.98612905777801,40191,37921
Last Year:57:EZ AMS:Sub Total,Difference;-1764 & Pct:-4.59052228901554,40191,38427
Yesterday:58:EZ CAPS:2L,Difference;17 & Pct:41.4634146341463,24,41
Last Year:58:EZ CAPS:2L,Difference;7 & Pct:22.5806451612903,24,31
Yesterday:61:EZ CAPS:2H,Difference;42 & Pct:65.625,22,64
Last Year:61:EZ CAPS:2H,Difference;7 & Pct:24.1379310344828,22,29
Last Year:62:EZ CAPS:3H,Difference;92 & Pct:41.4414414414414,130,222
Yesterday:63:EZ CAPS:4H,Difference;9 & Pct:29.0322580645161,22,31
Yesterday:64:EZ CAPS:5H,Difference;49 & Pct:14,301,350
Yesterday:65:EZ CAPS:5S,Difference;70 & Pct:35.5329949238579,127,197
Yesterday:66:EZ CAPS:6H,Difference;13 & Pct:43.3333333333333,17,30
Yesterday:67:EZ CAPS:6S,Difference;3 & Pct:18.75,13,16
Last Year:67:EZ CAPS:6S,Difference;3 & Pct:18.75,13,16
Yesterday:68:EZ CAPS:7H,Difference;1 & Pct:50,1,2
Yesterday:70:EZ CAPS:Sub Total,Difference;171 & Pct:20.4790419161677,664,835
Last Year:70:EZ CAPS:Sub Total,Difference;51 & Pct:7.13286713286713,664,715
Yesterday:78:TOTALS:TOTALS,Difference;-1950 & Pct:-4.20657520062128,48306,46356
Last Year:78:TOTALS:TOTALS,Difference;-2667 & Pct:-5.84368632090975,48306,45639
Yesterday:72:TOTALS:Commuter,Difference;-509 & Pct:-33.5751978891821,2025,1516
Yesterday:75:TOTALS:Passenger,Difference;-1998 & Pct:-4.6537628397736,44931,42933
Last Year:75:TOTALS:Passenger,Difference;-2986 & Pct:-7.11884610799857,44931,41945
Yesterday:76:TOTALS:Commercial,Difference;566 & Pct:30.7107976125882,1277,1843
Last Year:76:TOTALS:Commercial,Difference;289 & Pct:18.4546615581098,1277,1566
Yesterday:71:TOTALS:TOTAL,Difference;-1319 & Pct:-2.80715942707557,48306,46987
Last Year:71:TOTALS:TOTAL,Difference;-1319 & Pct:-2.80715942707557,48306,46987
Yesterday:71:TOTALS:TOTAL,Difference;1348 & Pct:2.86887862600294,45639,46987
Last Year:71:TOTALS:TOTAL,Difference;1348 & Pct:2.86887862600294,45639,46987
Yesterday:71:TOTALS:TOTAL,Difference;631 & Pct:1.34292463872986,46356,46987
Last Year:71:TOTALS:TOTAL,Difference;631 & Pct:1.34292463872986,46356,46987
