TimeFrame,Station,Class,Type,Count,Pct
YoY,08,TollsByMail,3H,32,29.0909090909091
YoY,08,TollsByMail,3H,88,29.0909090909091
YoY,08,TollsByMail,4H,7,10.7692307692308
YoY,08,TollsByMail,4H,21,10.7692307692308
YoY,08,TollsByMail,7H,-9,-36
YoY,08,TollsByMail,7H,-51.75,-36
YoY,08,EZ AMS,Green Discount,14,22.9508196721311
YoY,08,EZ AMS,Green Discount,14.98,22.9508196721311
YoY,08,EZ AMS,Motor Cycle 2L,-7,-175
YoY,08,EZ AMS,Motor Cycle 2L,-4.41,-175
YoY,08,EZ AMS,2L,-1975,-6.65520959698073
YoY,08,EZ AMS,2L,-2376.17000000001,-6.67383996962161
YoY,08,EZ AMS,3L,-15,-136.363636363636
YoY,08,EZ AMS,3L,-21.94,-138.248267170762
YoY,08,EZ AMS,Motor Home 2H,-1,-Infinity
YoY,08,EZ AMS,Motor Home 2H,-1.19,-Infinity
YoY,08,EZ AMS,3H,-55,-10.6382978723404
YoY,08,EZ AMS,3H,-147.89,-10.8340353833193
YoY,08,EZ AMS,5S,-66,-16.8367346938775
YoY,08,EZ AMS,5S,-231,-16.8367346938775
YoY,08,EZ AMS,6H,3,42.8571428571429
YoY,08,EZ AMS,6H,15,44.1176470588235
YoY,08,EZ AMS,6S,15,20
YoY,08,EZ AMS,6S,52.5,20
YoY,08,EZ AMS,7H,1,50
YoY,08,EZ AMS,7H,5.46,50
YoY,08,EZ AMS,7S,-2,-40
YoY,08,EZ AMS,7S,-7,-40
YoY,08,EZ AMS,Non-Revenue,-19,-10.6741573033708
YoY,08,EZ AMS,Non-Revenue,0,NaN
YoY,08,EZ AMS,Sub Total,-2230,-5.98240154523017
YoY,08,EZ AMS,Sub Total,-2849.32,-6.08118029517624
YoY,08,EZ CAPS,3H,-50,-22.6244343891403
YoY,08,EZ CAPS,3H,-130.5,-22.6244343891403
YoY,08,EZ CAPS,4H,-22,-23.9130434782609
YoY,08,EZ CAPS,4H,-62.7,-23.9130434782609
YoY,08,EZ CAPS,5H,58,8.43023255813953
YoY,08,EZ CAPS,5H,234.32,8.43023255813954
YoY,08,EZ CAPS,6H,3,6.25
YoY,08,EZ CAPS,6H,14.25,6.25
YoY,08,EZ CAPS,6S,-8,-30.7692307692308
YoY,08,EZ CAPS,6S,-28,-30.7692307692308
YoY,08,TOTALS,TOTALS,-2466,-5.48878205128205
YoY,08,TOTALS,TOTALS,-3067.05,-5.01735925653339
YoY,08,TOTALS,Passenger,-2228,-6.30322233852944
YoY,08,TOTALS,Passenger,-2691.82999999999,-6.30662882138015
YoY,08,TOTALS,Non-Revenue,-19,-10.6741573033708
YoY,08,TOTALS,Non-Revenue,0,NaN
YoY,08,TOTALS,TOTAL,-2796,-6.26933943226154
YoY,08,TOTALS,TOTAL,-3696.71,-6.11035435066731
YoY,14,Non EZ,4L,-10,-17.2413793103448
YoY,14,Non EZ,4L,-45,-17.2413793103448
YoY,14,Non EZ,3H,9,8.91089108910891
YoY,14,Non EZ,3H,74.25,8.91089108910891
YoY,14,Non EZ,4H,-11,-16.1764705882353
YoY,14,Non EZ,4H,-90.75,-16.1764705882353
YoY,14,Non EZ,7H,-5,-31.25
YoY,14,Non EZ,7H,-82.5,-31.25
YoY,14,Non EZ,Sub Total,-512,-4.57633178405434
YoY,14,EZ AMS,3L,-5,-83.3333333333333
YoY,14,EZ AMS,3L,-9.74,-72.1481481481481
YoY,14,EZ AMS,4L,-5,-26.3157894736842
YoY,14,EZ AMS,4L,-14.64,-22.638008350085
YoY,14,EZ AMS,4H,25,8.59106529209622
YoY,14,EZ AMS,4H,216.55,11.9876663492837
YoY,14,EZ AMS,5H,-757.700000000001,-3.86379374878253
YoY,14,EZ AMS,5S,-19,-6.93430656934307
YoY,14,EZ AMS,5S,-106.43,-6.80350818875692
YoY,14,EZ AMS,6H,-5,-7.57575757575758
YoY,14,EZ AMS,6H,-7.42000000000007,-0.969567092213419
YoY,14,EZ AMS,6S,-3,-8.10810810810811
YoY,14,EZ AMS,6S,-25.63,-13.1483096496178
YoY,14,EZ AMS,7H,-2,-9.52380952380952
YoY,14,EZ AMS,7H,-24.75,-13.0434782608696
YoY,14,EZ AMS,7S,-5,-10.6382978723404
YoY,14,EZ AMS,7S,-15.41,-6.13089317684504
DoD,14,EZ AMS,Non-Revenue,9,42.8571428571429
YoY,14,EZ AMS,Sub Total,-951.57,-3.17250594863619
YoY,14,EZ CAPS,2H,12,5.55555555555556
YoY,14,EZ CAPS,2H,34.85,5.45613952687364
YoY,14,EZ CAPS,3H,8,5.59440559440559
YoY,14,EZ CAPS,3H,55.71,8.25308879736897
DoD,14,EZ CAPS,6S,1,6.66666666666667
YoY,14,EZ CAPS,7S,-4,-100
YoY,14,EZ CAPS,7S,-15.4,-60.0624024960998
YoY,14,TOTALS,TOTALS,-1868.74,-3.28447300249805
YoY,14,TOTALS,Passenger,-18,-16.6666666666667
YoY,14,TOTALS,Passenger,-64.13,-15.5120700498283
YoY,14,TOTALS,Commercial,-1804.61,-3.19497432579882
DoD,14,TOTALS,Non-Revenue,9,42.8571428571429
YoY,14,TOTALS,TOTAL,-1868.74,-3.28447300249805
YoY,14,TOTALS,Commercial,510,7.09614581883957
YoY,14,TOTALS,Commercial,6261.44,11.0855753002199
YoY,14,TOTALS,TOTAL,503,6.87534171678513
YoY,14,TOTALS,TOTAL,6358.19,11.1750716524252
